entry_bar,exit_bar,entry_price,exit_price,direction,pnl,costs,net_pnl
114,166,1.17663,1.176335,SHORT,5.900000000003125,2.0,3.900000000003125
167,244,1.176335,1.175475,SHORT,17.199999999997218,2.0,15.199999999997218
245,435,1.175475,1.17421,SHORT,25.300000000001432,2.0,23.300000000001432
436,481,1.17421,1.17332,LONG,-17.80000000000115,2.0,-19.80000000000115
482,542,1.17332,1.17421,SHORT,-17.80000000000115,2.0,-19.80000000000115
543,630,1.17421,1.175515,LONG,26.100000000002233,2.0,24.100000000002233
631,788,1.175515,1.17253,SHORT,59.70000000000031,2.0,57.70000000000031
789,834,1.17253,1.17239,SHORT,2.80000000000058,2.0,0.8000000000005798
835,846,1.17239,1.17113,LONG,-25.200000000000777,2.0,-27.200000000000777
847,929,1.17113,1.16843,SHORT,53.999999999998494,2.0,51.999999999998494
930,965,1.16843,1.16794,LONG,-9.80000000000203,2.0,-11.80000000000203
966,1004,1.16794,1.16814,SHORT,-3.9999999999995595,2.0,-5.9999999999995595
1005,1120,1.16814,1.17224,SHORT,-81.99999999999986,2.0,-83.99999999999986
1121,1166,1.17224,1.172345,SHORT,-2.100000000000435,2.0,-4.100000000000435
1167,1243,1.172345,1.17293,LONG,11.700000000001154,2.0,9.700000000001154
1244,1324,1.17293,1.169055,SHORT,77.50000000000145,2.0,75.50000000000145
1325,1375,1.169055,1.16853,SHORT,10.499999999997733,2.0,8.499999999997733
1376,1418,1.16853,1.168985,SHORT,-9.099999999997443,2.0,-11.099999999997443
1419,1425,1.168985,1.168685,LONG,-5.999999999999339,2.0,-7.999999999999339
1426,1487,1.168685,1.16921,SHORT,-10.500000000002174,2.0,-12.500000000002174
1488,1553,1.16921,1.169145,SHORT,1.2999999999996348,2.0,-0.7000000000003652
1554,1578,1.169145,1.168525,LONG,-12.400000000001299,2.0,-14.400000000001299
1579,1596,1.168525,1.16893,SHORT,-8.099999999999774,2.0,-10.099999999999774
1597,1624,1.16893,1.168655,LONG,-5.5000000000005045,2.0,-7.5000000000005045
1625,1725,1.168655,1.167715,SHORT,18.799999999998818,2.0,16.799999999998818
1726,1730,1.167715,1.16734,LONG,-7.500000000000284,2.0,-9.500000000000284
1731,1749,1.16734,1.16814,SHORT,-15.999999999998238,2.0,-17.999999999998238
1750,1806,1.16814,1.167595,LONG,-10.900000000000354,2.0,-12.900000000000354
1807,1808,1.167595,1.167655,SHORT,-1.2000000000034206,2.0,-3.2000000000034206
1809,1863,1.167655,1.167415,SHORT,4.8000000000003595,2.0,2.8000000000003595
1864,1959,1.167415,1.165315,SHORT,41.999999999999815,2.0,39.999999999999815
1960,2005,1.165315,1.16543,LONG,2.299999999997304,2.0,0.2999999999973042
2006,2040,1.16543,1.165565,SHORT,-2.6999999999999247,2.0,-4.699999999999925
2041,2066,1.165565,1.16512,LONG,-8.900000000000574,2.0,-10.900000000000574
2067,2140,1.16512,1.164525,SHORT,11.899999999998023,2.0,9.899999999998023
2141,2145,1.164525,1.164075,LONG,-9.00000000000123,2.0,-11.00000000000123
