date,open,high,low,close,volume
2023-02-13,1.06825,1.072995,1.065565,1.07232,-1.0
2023-02-14,1.07215,1.08047,1.07067,1.07368,-1.0
2023-02-15,1.073475,1.07446,1.066055,1.068735,-1.0
2023-02-16,1.069075,1.072255,1.06547,1.067385,-1.0
2023-02-17,1.0675,1.06985,1.061285,1.06949,-1.0
2023-02-20,1.06906,1.07046,1.06702,1.068515,-1.0
2023-02-21,1.068425,1.06983,1.063745,1.06484,-1.0
2023-02-22,1.065075,1.066405,1.05992,1.060395,-1.0
2023-02-23,1.060555,1.06278,1.05772,1.05949,-1.0
2023-02-24,1.05978,1.061445,1.05362,1.05485,-1.0
2023-02-27,1.0548,1.062,1.0533,1.06092,-1.0
2023-02-28,1.0605,1.06454,1.057425,1.05752,-1.0
2023-03-01,1.057825,1.06916,1.056535,1.0668,-1.0
2023-03-02,1.066875,1.06729,1.057655,1.05967,-1.0
2023-03-03,1.05978,1.063875,1.058835,1.06351,-1.0
2023-03-06,1.06255,1.06945,1.062225,1.06799,-1.0
2023-03-07,1.067975,1.069455,1.054605,1.05495,-1.0
2023-03-08,1.054825,1.05739,1.052445,1.05454,-1.0
2023-03-09,1.054825,1.05913,1.05381,1.058065,-1.0
2023-03-10,1.058275,1.07009,1.057395,1.06418,-1.0
2023-03-13,1.067875,1.07486,1.06503,1.07312,-1.0
2023-03-14,1.07285,1.07497,1.067885,1.073285,-1.0
2023-03-15,1.073575,1.075985,1.051615,1.05766,-1.0
2023-03-16,1.05784,1.06357,1.05512,1.061,-1.0
2023-03-17,1.061005,1.068535,1.060925,1.065885,-1.0
2023-03-20,1.068685,1.073085,1.063135,1.07211,-1.0
2023-03-21,1.07198,1.07887,1.070405,1.076685,-1.0
2023-03-22,1.07692,1.091255,1.0759,1.085585,-1.0
2023-03-23,1.085945,1.09298,1.08241,1.08308,-1.0
2023-03-24,1.0832,1.0839,1.07132,1.07584,-1.0
2023-03-27,1.077225,1.080015,1.074505,1.079755,-1.0
2023-03-28,1.07965,1.08486,1.079585,1.08449,-1.0
2023-03-29,1.08435,1.087155,1.081775,1.084425,-1.0
2023-03-30,1.084225,1.09264,1.082365,1.090545,-1.0
2023-03-31,1.090575,1.092575,1.0837,1.084075,-1.0
2023-04-03,1.0844,1.09167,1.07883,1.089895,-1.0
2023-04-04,1.0905,1.09733,1.088285,1.09537,-1.0
2023-04-05,1.09535,1.09696,1.089115,1.09026,-1.0
2023-04-06,1.09027,1.09377,1.088465,1.092175,-1.0
2023-04-07,1.092205,1.0924,1.087625,1.090675,-1.0
2023-04-10,1.091315,1.09173,1.08313,1.08592,-1.0
2023-04-11,1.086125,1.092805,1.0854,1.09129,-1.0
2023-04-12,1.091175,1.100055,1.09116,1.09919,-1.0
2023-04-13,1.099115,1.10678,1.097665,1.10463,-1.0
2023-04-14,1.104625,1.107585,1.097245,1.099355,-1.0
2023-04-17,1.099375,1.099985,1.090935,1.09257,-1.0
2023-04-18,1.092475,1.09831,1.092245,1.0972,-1.0
2023-04-19,1.09687,1.09841,1.09174,1.09544,-1.0
2023-04-20,1.095475,1.098975,1.09334,1.09694,-1.0
2023-04-21,1.0966,1.099385,1.093795,1.0986,-1.0
2023-04-24,1.09905,1.10502,1.0966,1.10462,-1.0
2023-04-25,1.104285,1.106705,1.09642,1.097265,-1.0
2023-04-26,1.097225,1.109565,1.09684,1.10393,-1.0
2023-04-27,1.1038,1.10635,1.09921,1.102845,-1.0
2023-04-28,1.10275,1.1045,1.096245,1.10205,-1.0
2023-05-01,1.102075,1.103575,1.096425,1.0976,-1.0
2023-05-02,1.0976,1.10081,1.09422,1.09978,-1.0
2023-05-03,1.1002,1.109195,1.099955,1.106245,-1.0
2023-05-04,1.105925,1.109165,1.09862,1.10123,-1.0
2023-05-05,1.101225,1.10479,1.096685,1.101975,-1.0
2023-05-08,1.10215,1.10538,1.100015,1.10041,-1.0
2023-05-09,1.1001,1.100695,1.09411,1.09606,-1.0
2023-05-10,1.096525,1.10071,1.09416,1.098195,-1.0
2023-05-11,1.098145,1.09981,1.09002,1.09154,-1.0
2023-05-12,1.09215,1.09357,1.084785,1.084975,-1.0
2023-05-15,1.0854,1.089095,1.08457,1.08745,-1.0
2023-05-16,1.087445,1.090475,1.085495,1.0863,-1.0
2023-05-17,1.086375,1.087365,1.08103,1.08396,-1.0
2023-05-18,1.08398,1.08481,1.07626,1.077,-1.0
2023-05-19,1.07703,1.08289,1.076,1.08025,-1.0
2023-05-22,1.080555,1.083135,1.079555,1.081265,-1.0
2023-05-23,1.08155,1.08206,1.076035,1.076965,-1.0
2023-05-24,1.077155,1.080135,1.07483,1.074985,-1.0
2023-05-25,1.07525,1.075685,1.070735,1.072495,-1.0
2023-05-26,1.072625,1.075865,1.07018,1.07214,-1.0
2023-05-29,1.072375,1.07436,1.07054,1.07078,-1.0
2023-05-30,1.071045,1.074665,1.06725,1.07347,-1.0
2023-05-31,1.0732,1.073575,1.063515,1.06892,-1.0
2023-06-01,1.068625,1.07685,1.06619,1.07614,-1.0
2023-06-02,1.075925,1.07791,1.070505,1.07078,-1.0
2023-06-05,1.070925,1.07226,1.06745,1.07119,-1.0
2023-06-06,1.07125,1.073295,1.066715,1.069255,-1.0
2023-06-07,1.06955,1.073975,1.066835,1.06986,-1.0
2023-06-08,1.06995,1.078715,1.069675,1.07823,-1.0
2023-06-09,1.07811,1.078525,1.07428,1.074765,-1.0
2023-06-12,1.074975,1.079025,1.07331,1.07559,-1.0
2023-06-13,1.0755,1.08235,1.075475,1.07934,-1.0
2023-06-14,1.0793,1.08642,1.077385,1.082895,-1.0
2023-06-15,1.082795,1.095275,1.080385,1.094485,-1.0
2023-06-16,1.094425,1.097065,1.091795,1.09304,-1.0
2023-06-19,1.0936,1.094645,1.090715,1.09215,-1.0
2023-06-20,1.092075,1.094635,1.08922,1.091795,-1.0
2023-06-21,1.091855,1.099085,1.090575,1.09863,-1.0
2023-06-22,1.098575,1.101245,1.09485,1.09559,-1.0
2023-06-23,1.09593,1.09593,1.08444,1.089175,-1.0
2023-06-26,1.09015,1.09201,1.08873,1.09059,-1.0
2023-06-27,1.090945,1.09767,1.090215,1.09604,-1.0
2023-06-28,1.096075,1.0963,1.089665,1.091315,-1.0
2023-06-29,1.0916,1.094145,1.086025,1.08643,-1.0
2023-06-30,1.0867,1.093185,1.083525,1.09115,-1.0
2023-07-03,1.09125,1.093405,1.08701,1.091205,-1.0
2023-07-04,1.091295,1.091645,1.08768,1.087925,-1.0
2023-07-05,1.0884,1.0908,1.08511,1.085445,-1.0
2023-07-06,1.08575,1.090065,1.08335,1.0889,-1.0
2023-07-07,1.08882,1.097335,1.08669,1.096535,-1.0
2023-07-10,1.096625,1.100155,1.094355,1.10013,-1.0
2023-07-11,1.10015,1.102715,1.097695,1.10089,-1.0
2023-07-12,1.10063,1.114045,1.100625,1.11294,-1.0
2023-07-13,1.11329,1.1228,1.112815,1.12265,-1.0
2023-07-14,1.122175,1.124485,1.12042,1.122575,-1.0
2023-07-17,1.122955,1.124885,1.12034,1.12355,-1.0
2023-07-18,1.124035,1.127575,1.12089,1.12283,-1.0
2023-07-19,1.122695,1.124025,1.117435,1.11996,-1.0
2023-07-20,1.12015,1.122915,1.111845,1.11294,-1.0
2023-07-21,1.113305,1.11451,1.110795,1.112345,-1.0
2023-07-24,1.11265,1.1147,1.10603,1.106435,-1.0
2023-07-25,1.1065,1.108695,1.10208,1.10534,-1.0
