entry_time,exit_time,direction,entry_price,exit_price,size,gross_pnl,costs,net_pnl,net_pnl_eur,capital_eur
2026-02-23 08:25:41.030567,2026-02-23 23:45:28.733393,SHORT (IB reconcile),1.18152,1.17925,20000,45.40,4.00,41.40,35.11,982265.30
2026-02-24 00:15:47.185145,2026-02-24 05:46:14.553178,LONG (IB reconcile),1.17926,1.17724,20000,-40.50,4.00,-44.50,-37.80,982227.50
2026-02-24 16:30:56.070770,2026-02-24 20:05:57.785749,LONG,1.17886,1.17763,20000,-24.60,4.00,-28.60,-24.29,982203.21
2026-02-24 20:05:59.288557,2026-02-24 23:45:30.333424,SHORT (IB reconcile),1.17763,1.17745,20000,3.70,4.00,-0.30,-0.25,982202.96
2026-02-25 01:16:05.361725,2026-02-25 05:29:05.892036,LONG (IB reconcile),1.17790,1.17974,20000,36.80,4.00,32.80,27.80,982230.76
2026-02-25 15:10:23.793670,2026-02-25 23:46:20.605854,LONG (IB reconcile),1.17900,1.18131,20000,46.20,4.00,42.20,35.72,982266.48
2026-02-26 04:25:51.681198,2026-02-26 05:52:55.942721,SHORT (IB reconcile),1.18156,1.18196,20000,-7.90,4.00,-11.90,-10.07,982256.41
2026-02-26 12:55:38.083165,2026-02-26 15:45:27.587941,LONG,1.18089,1.17942,20000,-29.40,4.00,-33.40,-28.32,982228.09
2026-02-26 15:45:29.091591,2026-02-26 20:10:38.711024,SHORT,1.17943,1.17975,20000,-6.40,4.00,-10.40,-8.82,982219.28
2026-02-26 20:10:45.723252,2026-02-26 23:45:50.181546,LONG (IB reconcile),1.17975,1.18019,20000,8.80,4.00,4.80,4.07,982223.35
2026-02-27 09:45:09.252044,2026-02-27 15:10:27.445810,SHORT,1.18032,1.18032,20000,-0.00,4.00,-4.00,-3.39,982219.96
